과목명,강의 내용,상세 URL
[임베디드 입문용] 임베디드 개발은 실제로 이렇게 해요.,임베디드 개발이 무엇인지 알려드려요. 뜬구름 잡는 추상적인 설명 없이 명확하게 개념을 설명해드려요.,https://www.inflearn.com/course/임베디드-개발-입문?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
"회로설계 입문자를 위한 디지털, 아날로그 설계와 실무 Project","삼성전자 현직자가 알려주는 디지털/아날로그 회로설계 기초와 실무!
회로설계 용어집, 세부 직무 선택 방법, 직무 면접 대비법까지 모두 받아가세요!",https://www.inflearn.com/course/회로설계-입문자-디지털-아날로그설계?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
"김영한의 실전 자바 - 고급 2편, I/O, 네트워크, 리플렉션","I/O, 네트워크, 리플렉션, 애노테이션을 기초부터 실무 레벨까지 깊이있게 학습합니다. 
웹 애플리케이션 서버(WAS)를 자바로 직접 만들어봅니다.",https://www.inflearn.com/course/김영한의-실전-자바-고급-2?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
전자금융거래법: 핵심 개념과 필수 이슈 한눈에,"전자금융거래법, 실무자들이 꼭 알아야 할 A부터 Z까지! 실무에서 활용 가능한 핵심 내용을 빠르게 이해할 수 있는 강의입니다.",https://www.inflearn.com/course/전자-금융-거래법-개념?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
"김영한의 실전 자바 - 고급 1편, 멀티스레드와 동시성",멀티스레드와 동시성을 기초부터 실무 레벨까지 깊이있게 학습합니다.,https://www.inflearn.com/course/김영한의-실전-자바-고급-1?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
[Level 2] Qt를 이용한 Python 프로그래밍: QML편,QML은 Qt에서 제공하는 UI를 만드는 프로그래밍 인터프리터 언어입니다. JSON과 유사하고 JavaScript를 사용할 수 있습니다. QML과 Python 함께 이용하면 현대적인 고급 UI를 쉽게 개발할 수 있습니다.,https://www.inflearn.com/course/qt-python-프로그래밍-qml?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
350개의 개인 앱을 만들어 월급의 7배 수익을 달성한 방법,350개의 앱을 통해 월급의 2~7배를 벌게 된 7년간의 여정과 노하우를 모두 담았습니다. 이제는 당신이 그 주인공이 될 차례입니다.,https://www.inflearn.com/course/350개-개인앱-월급7배-수익달성방법?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
"38군데 합격 비법, 2024 코딩테스트 필수 알고리즘","초보자도 쉽게 이해하는 단계별 설명으로, 막연했던 코딩 테스트가 명확해집니다. 필요한 것만 배우고 바로 실전에 적용하세요!",https://www.inflearn.com/course/38군데-합격비법-코테-필수-알고리즘?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
이펙티브 자바 완벽 공략 3부,자바 학습의 끝판왕 “이펙티브 자바”를 보다 쉽고 완벽하게 학습하세요. 이 강의를 수강하시면 여러분의 자바 프로그래밍 지식과 실력뿐 아니라 학습 능력 또한 향상시킬 수 있습니다.,https://www.inflearn.com/course/이펙티브-자바-3?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
스프링 핵심 원리 - 기본편,"스프링 입문자가 예제를 만들어가면서 스프링의 핵심 원리를 이해하고, 스프링 기본기를 확실히 다질 수 있습니다.",https://www.inflearn.com/course/스프링-핵심-원리-기본편?attributionToken=ChMyMTMzNDU0MjY1NTczMjAzODI0EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiy08dES9_HRErvy0RLz0YQSj_LRErLx0RL68dESjPLREr7y0RKp8tESrfLREg
