과목명,강의 내용,상세 URL,이미지 URL
김영한의 실전 자바 - 기본편,실무에 필요한 자바 객체 지향의 핵심 개념을 예제 코드를 통해 쉽게 학습합니다.,https://www.inflearn.comhttps://www.inflearn.com/course/김영한의-실전-자바-기본편?attributionToken=ChQxNTQwNTE5NzM0MjUwMTE3NDM4NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvPRhBKy8dESrfLREo_y0RL38dESjPLREvrx0RKp8tESu_LREr7y0RI,https://cdn.inflearn.com/public/courses/332506/cover/a2cc776f-4996-44a4-bbb3-b31df29c087c/332506.png?w=420
"38군데 합격 비법, 2024 코딩테스트 필수 알고리즘","초보자도 쉽게 이해하는 단계별 설명으로, 막연했던 코딩 테스트가 명확해집니다. 필요한 것만 배우고 바로 실전에 적용하세요!",https://www.inflearn.comhttps://www.inflearn.com/course/38군데-합격비법-코테-필수-알고리즘?attributionToken=ChQxNTQwNTE5NzM0MjUwMTE3NDM4NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvPRhBKy8dESrfLREo_y0RL38dESjPLREvrx0RKp8tESu_LREr7y0RI,https://cdn.inflearn.com/public/courses/335301/cover/a14e9fa0-65dc-4321-8fbf-6bc0a7bf9a18/335301.png?w=420
"김영한의 실전 자바 - 고급 2편, I/O, 네트워크, 리플렉션","I/O, 네트워크, 리플렉션, 애노테이션을 기초부터 실무 레벨까지 깊이있게 학습합니다. 
웹 애플리케이션 서버(WAS)를 자바로 직접 만들어봅니다.",https://www.inflearn.comhttps://www.inflearn.com/course/김영한의-실전-자바-고급-2?attributionToken=ChQxNTQwNTE5NzM0MjUwMTE3NDM4NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvPRhBKy8dESrfLREo_y0RL38dESjPLREvrx0RKp8tESu_LREr7y0RI,https://cdn.inflearn.com/public/courses/334977/cover/ceeca279-7e9f-4e2d-8bdd-19a81278013b/334977.png?w=420
스프링 핵심 원리 - 기본편,"스프링 입문자가 예제를 만들어가면서 스프링의 핵심 원리를 이해하고, 스프링 기본기를 확실히 다질 수 있습니다.",https://www.inflearn.comhttps://www.inflearn.com/course/스프링-핵심-원리-기본편?attributionToken=ChQxNTQwNTE5NzM0MjUwMTE3NDM4NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvPRhBKy8dESrfLREo_y0RL38dESjPLREvrx0RKp8tESu_LREr7y0RI,https://cdn.inflearn.com/public/courses/325969/cover/2868c757-5886-4508-a140-7cb68a83dfd8/325969-eng.png?w=420
모든 개발자를 위한 HTTP 웹 기본 지식,실무에 꼭 필요한 HTTP 핵심 기능과 올바른 HTTP API 설계 방법을 학습합니다.,https://www.inflearn.comhttps://www.inflearn.com/course/http-웹-네트워크?attributionToken=ChQxNTQwNTE5NzM0MjUwMTE3NDM4NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvPRhBKy8dESrfLREo_y0RL38dESjPLREvrx0RKp8tESu_LREr7y0RI,https://cdn.inflearn.com/public/courses/326277/cover/52d4f143-b470-4109-96cb-a0b146fb42ed/http.png?w=420
최신 Vue 3 완벽 가이드: 프로젝트 설정 & 스펙 총정리,"""Vue 3 완벽 마스터"" 후속 강의로 최신 Vue 3 버전의 프로젝트 설정과 최신 스펙을 익히는 강의입니다. Vue 기본편 또는 실전편을 수강하신 분들에게 무료로 제공되는 강의입니다.",https://www.inflearn.comhttps://www.inflearn.com/course/vue-완벽가이드-프로젝트-설정?attributionToken=ChQxNTQwNTE5NzM0MjUwMTE3NDM4NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvPRhBKy8dESrfLREo_y0RL38dESjPLREvrx0RKp8tESu_LREr7y0RI,https://cdn.inflearn.com/public/courses/335367/cover/dfdb6ec9-04e7-4139-a072-78803c0268c6/335367.png?w=420
R3F(React + Three.js / Typescript)로 인터렉티브 포트폴리오 만들기,React와 Three.js 를 한번에! 인터렉티브 웹의 기초인 Vector부터 GSAP까지 배울 수 있어요. 3가지 예제를 하나의 포트폴리오로 통합하는 팁과 노하우!,https://www.inflearn.comhttps://www.inflearn.com/course/r3f-인터렉티브-포트폴리오?attributionToken=ChQxNTQwNTE5NzM0MjUwMTE3NDM4NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvPRhBKy8dESrfLREo_y0RL38dESjPLREvrx0RKp8tESu_LREr7y0RI,https://cdn.inflearn.com/public/courses/335015/cover/1457d733-3ca4-405a-b67f-ea8337fa8820/335015.jpg?w=420
전자금융거래법: 핵심 개념과 필수 이슈 한눈에,"전자금융거래법, 실무자들이 꼭 알아야 할 A부터 Z까지! 실무에서 활용 가능한 핵심 내용을 빠르게 이해할 수 있는 강의입니다.",https://www.inflearn.comhttps://www.inflearn.com/course/전자-금융-거래법-개념?attributionToken=ChQxNTQwNTE5NzM0MjUwMTE3NDM4NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvPRhBKy8dESrfLREo_y0RL38dESjPLREvrx0RKp8tESu_LREr7y0RI,https://cdn.inflearn.com/public/courses/335379/cover/bebdd3b4-73f7-42ba-94a0-892f9be1ac96/335379.jpg?w=420
자바 ORM 표준 JPA 프로그래밍 - 기본편,"JPA를 처음 접하거나, 실무에서 JPA를 사용하지만 기본 이론이 부족하신 분들이
JPA의 기본 이론을 탄탄하게 학습해서 초보자도 실무에서 자신있게 JPA를 사용할 수 있습니다.",https://www.inflearn.comhttps://www.inflearn.com/course/ORM-JPA-Basic?attributionToken=ChQxNTQwNTE5NzM0MjUwMTE3NDM4NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvPRhBKy8dESrfLREo_y0RL38dESjPLREvrx0RKp8tESu_LREr7y0RI,https://cdn.inflearn.com/public/courses/324109/course_cover/161476f8-f0b7-4b04-b293-ce648c2ea445/kyh_jsp.png?w=420
ChatGPT API를 이용한 인공지능 서비스 개발,OpenAI사의 ChatGPT API를 이용해서 인공지능 서비스를 개발하는 방법을 설명합니다.,https://www.inflearn.comhttps://www.inflearn.com/course/chatgpt-api활용-서비스-개발?attributionToken=ChQxNTQwNTE5NzM0MjUwMTE3NDM4NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvPRhBKy8dESrfLREo_y0RL38dESjPLREvrx0RKp8tESu_LREr7y0RI,https://cdn.inflearn.com/public/courses/335332/cover/bf711d5e-e19b-450f-b2bb-7b92da380d99/335332.png?w=420
넓고 얕게 외워서 컴공 전공자 되기,"넓고 얕게 외워서 컴퓨터 공학 전공자가 되고 싶은 모든 비전공 초보자를 위한 강의입니다. 컴퓨터 구조, 운영체제 등 컴퓨터 공학 전공 필수과목에서 어떤 것을 배울 수 있는지 빠른 시간에 알 수 있습니다. 무엇보다 외워서라도 끝낼 수 있습니다!",https://www.inflearn.comhttps://www.inflearn.com/course/넓고얕게-컴공-전공자?attributionToken=ChQxNTQwNTE5NzM0MjUwMTE3NDM4NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvPRhBKy8dESrfLREo_y0RL38dESjPLREvrx0RKp8tESu_LREr7y0RI,https://cdn.inflearn.com/public/courses/329605/cover/7f7d4d9a-e739-482c-8e16-71081b4793b5/329605-eng.jpg?w=420
